Id,Sentiment,Text Tweet,cleaned_text,label,Text Tweet_len,punct,token,stop,stemmed
1,1,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya",undang  n shanijkt   ke hitamputih  pemenang ssk jkt   harusnya mjkt   ini lebih layak di undang karena prestasinya,0.0,100,3.0,"['undang', 'n', 'shanijkt', 'ke', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'harusnya', 'mjkt', 'ini', 'lebih', 'layak', 'di', 'undang', 'karena', 'prestasinya']","['undang', 'n', 'shanijkt', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'harusnya', 'mjkt', 'lebih', 'layak', 'undang', 'prestasinya']","['undang', 'n', 'shanijkt', 'hitamputih', 'menang', 'ssk', 'jkt', 'harus', 'mjkt', 'lebih', 'layak', 'undang', 'prestasi']"
2,1,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih,selamat berbuka puasa semoga amal ibadah hari ni diterima allah  hitamputih,0.0,65,1.5,"['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'hari', 'ni', 'diterima', 'allah', 'hitamputih']","['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'hari', 'ni', 'diterima', 'allah', 'hitamputih']","['selamat', 'buka', 'puasa', 'moga', 'amal', 'ibadah', 'hari', 'ni', 'terima', 'allah', 'hitamputih']"
3,1,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih",ada nih di trans  hitam putih  dia dpt penghargaan juga di norwegia  hitamputih,0.0,67,3.0,"['ada', 'nih', 'di', 'trans', 'hitam', 'putih', 'dia', 'dpt', 'penghargaan', 'juga', 'di', 'norwegia', 'hitamputih']","['nih', 'trans', 'hitam', 'putih', 'dpt', 'penghargaan', 'norwegia', 'hitamputih']","['nih', 'trans', 'hitam', 'putih', 'dpt', 'harga', 'norwegia', 'hitamputih']"
4,1,selamat ya mas @adietaufan masuk hitamputih,selamat ya mas  adietaufan masuk hitamputih,0.0,38,2.6,"['selamat', 'ya', 'mas', 'adietaufan', 'masuk', 'hitamputih']","['selamat', 'mas', 'adietaufan', 'masuk', 'hitamputih']","['selamat', 'mas', 'adietaufan', 'masuk', 'hitamputih']"
5,1,Asiknya nonton Hitam Putih Trans7,asiknya nonton hitam putih trans ,0.0,29,0.0,"['asiknya', 'nonton', 'hitam', 'putih', 'trans']","['asiknya', 'nonton', 'hitam', 'putih', 'trans']","['asiknya', 'nonton', 'hitam', 'putih', 'trans']"
6,1,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih, trans  acara paling komplit dan menarik apalagi ada hitam putih,0.0,55,1.7999999999999998,"['trans', 'acara', 'paling', 'komplit', 'dan', 'menarik', 'apalagi', 'ada', 'hitam', 'putih']","['trans', 'acara', 'paling', 'komplit', 'menarik', 'hitam', 'putih']","['trans', 'acara', 'paling', 'komplit', 'tarik', 'hitam', 'putih']"
7,1,hitam putih T7 inspiratif banget,hitam putih t  inspiratif banget,0.0,28,0.0,"['hitam', 'putih', 't', 'inspiratif', 'banget']","['hitam', 'putih', 't', 'inspiratif', 'banget']","['hitam', 'putih', 't', 'inspiratif', 'banget']"
8,1,Suka banget dengan acara hitam putih,suka banget dengan acara hitam putih,0.0,31,0.0,"['suka', 'banget', 'dengan', 'acara', 'hitam', 'putih']","['suka', 'banget', 'acara', 'hitam', 'putih']","['suka', 'banget', 'acara', 'hitam', 'putih']"
9,1,Keren lu bro #HitamPutihTrans7,keren lu bro  hitamputihtrans ,0.0,27,3.6999999999999997,"['keren', 'lu', 'bro', 'hitamputihtrans']","['keren', 'lu', 'bro', 'hitamputihtrans']","['keren', 'lu', 'bro', 'hitamputihtrans']"
10,1,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng",tadi ada yg liat hitam putih di trans  ga  ada sanggu ganteng,0.0,50,2.0,"['tadi', 'ada', 'yg', 'liat', 'hitam', 'putih', 'di', 'trans', 'ga', 'ada', 'sanggu', 'ganteng']","['tadi', 'yg', 'liat', 'hitam', 'putih', 'trans', 'ga', 'sanggu', 'ganteng']","['tadi', 'yg', 'liat', 'hitam', 'putih', 'trans', 'ga', 'sanggu', 'ganteng']"
11,1,cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/,cinta mengikat silaturahmi di hati      lunamaya  hitamputihtrans       https   www instagram com p btqszj jo a ,0.0,103,16.5,"['cinta', 'mengikat', 'silaturahmi', 'di', 'hati', 'lunamaya', 'hitamputihtrans', 'https', 'www', 'instagram', 'com', 'p', 'btqszj', 'jo', 'a']","['cinta', 'mengikat', 'silaturahmi', 'hati', 'lunamaya', 'hitamputihtrans', 'https', 'www', 'instagram', 'com', 'p', 'btqszj', 'jo', 'a']","['cinta', 'ikat', 'silaturahmi', 'hati', 'lunamaya', 'hitamputihtrans', 'https', 'www', 'instagram', 'com', 'p', 'btqszj', 'jo', 'a']"
12,1,Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7,terima kasih pak     sudah mau membantu kami untuk menyekolahkan adik saya      hitamputihtrans ,0.0,85,10.6,"['terima', 'kasih', 'pak', 'sudah', 'mau', 'membantu', 'kami', 'untuk', 'menyekolahkan', 'adik', 'saya', 'hitamputihtrans']","['terima', 'kasih', 'pak', 'mau', 'membantu', 'menyekolahkan', 'adik', 'hitamputihtrans']","['terima', 'kasih', 'pak', 'mau', 'bantu', 'sekolah', 'adik', 'hitamputihtrans']"
13,1,Semoga lancar hitamputihtrans7,semoga lancar hitamputihtrans ,0.0,28,0.0,"['semoga', 'lancar', 'hitamputihtrans']","['semoga', 'lancar', 'hitamputihtrans']","['moga', 'lancar', 'hitamputihtrans']"
